data,ipca,expec_ipca_top5_curto_prazo,ic_br,cambio_brl_eur,ipc_s,April,August,February,January,July,June,March,May,November,October,September
2004-01-01,0.76,0.43142857142857144,-0.03962782653998076,-0.0014872497109945648,0.7075,0,0,0,1,0,0,0,0,0,0,0
2004-02-01,0.61,0.43,0.037878944863832587,0.029318749383510978,0.7475,0,0,1,0,0,0,0,0,0,0,0
2004-03-01,0.47,0.4230434782608696,0.04489933806191093,-0.03819202989793058,0.466,0,0,0,0,0,0,1,0,0,0,0
2004-04-01,0.37,0.4947368421052632,0.016984302854540445,-0.02120303709529958,0.3375,1,0,0,0,0,0,0,0,0,0,0
2004-05-01,0.51,0.7904761904761906,0.08138193380111236,0.06585406470422894,0.5525,0,0,0,0,0,0,0,1,0,0,0
2004-06-01,0.71,0.5650000000000001,0.004451178007128576,0.020475650072316887,0.836,0,0,0,0,0,1,0,0,0,0,0
2004-07-01,0.91,0.4690909090909091,-0.042644581764351486,-0.020694662114719486,0.745,0,0,0,0,1,0,0,0,0,0,0
2004-08-01,0.69,0.4268181818181818,-0.016354740497797948,-0.017230632316860728,0.8019999999999999,0,1,0,0,0,0,0,0,0,0,0
2004-09-01,0.33,0.5625,-0.014425608418061842,-0.034796308401374265,0.325,0,0,0,0,0,0,0,0,0,0,1
2004-10-01,0.44,0.5335,0.0028636903877252706,0.010061438721131744,0.1375,0,0,0,0,0,0,0,0,0,1,0
2004-11-01,0.69,0.6147368421052631,-0.017112511415416698,0.015578432761648386,0.304,0,0,0,0,0,0,0,0,1,0,0
2004-12-01,0.86,0.587,-0.01662142294007296,0.005440911408279847,0.6125,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,0.58,0.4205,-0.0031598722845966876,-0.03227146096304101,0.8075,0,0,0,1,0,0,0,0,0,0,0
2005-02-01,0.59,0.41333333333333333,-0.02777817111951464,-0.04077022976104461,0.61,0,0,1,0,0,0,0,0,0,0,0
2005-03-01,0.61,0.3718181818181818,0.08271431292783049,0.05096597606653752,0.655,0,0,0,0,0,0,1,0,0,0,0
2005-04-01,0.87,0.3655,-0.06737596983916116,-0.06675969298954154,0.87,1,0,0,0,0,0,0,0,0,0,0
2005-05-01,0.49,0.6357142857142857,-0.06859239090490643,-0.06903836139019748,0.96,0,0,0,0,0,0,0,1,0,0,0
2005-06-01,-0.02,0.45571428571428574,-0.03292568218730629,-0.060747059996516306,0.21,0,0,0,0,0,1,0,0,0,0,0
2005-07-01,0.25,0.40238095238095245,-0.017216747232139618,-0.02575317609460881,0.1125,0,0,0,0,1,0,0,0,0,0,0
2005-08-01,0.17,0.3869565217391305,0.01987337930158617,0.015017519867068785,-0.2275,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,0.35,0.38,0.005512085392584076,-0.03303069427412986,-0.1275,0,0,0,0,0,0,0,0,0,0,1
2005-10-01,0.75,0.35700000000000004,0.023146917686117874,-0.03444188715607288,0.44,0,0,0,0,0,0,0,0,0,1,0
2005-11-01,0.55,0.40549999999999997,-0.013954469501953781,-0.04083456919013051,0.5275000000000001,0,0,0,0,0,0,0,0,1,0,0
2005-12-01,0.36,0.4509090909090909,0.08555788836164702,0.03980643338618561,0.555,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0.59,0.3645454545454545,0.017938145131012995,0.01615883437848553,0.71,0,0,0,1,0,0,0,0,0,0,0
2006-02-01,0.41,0.36666666666666664,-0.04253826199924582,-0.06464138991004442,0.18,0,0,1,0,0,0,0,0,0,0,0
2006-03-01,0.43,0.26260869565217393,-0.03929860898199955,0.002520155416248171,0.225,0,0,0,0,0,0,1,0,0,0,0
2006-04-01,0.21,0.25055555555555553,0.015653413222237234,0.010579615673961928,0.2775,1,0,0,0,0,0,0,0,0,0,0
2006-05-01,0.1,0.33,0.03940636396079,0.06216715996722311,0.11,0,0,0,0,0,0,0,1,0,0,0
2006-06-01,-0.21,0.3295,0.005132086735878616,0.02258324536184042,-0.3675,0,0,0,0,0,1,0,0,0,0,0
2006-07-01,0.19,0.33499999999999996,0.0012037317132076453,-0.0244021759980102,-0.085,0,0,0,0,1,0,0,0,0,0,0
2006-08-01,0.05,0.3565217391304348,-0.02744074615495329,-0.006241303301182777,0.19,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,0.21,0.4485,-0.02493478513691816,-7.202939129680175e-05,0.2675,0,0,0,0,0,0,0,0,0,0,1
2006-10-01,0.33,0.35,0.011553536771616635,-0.017998252912948987,0.1775,0,0,0,0,0,0,0,0,0,1,0
2006-11-01,0.31,0.4255,0.04212440416185448,0.026048683292539954,0.2975,0,0,0,0,0,0,0,0,1,0,0
2006-12-01,0.48,0.48600000000000004,0.009268091654277555,0.019238866339436056,0.455,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0.44,0.33999999999999997,-0.017007212647232706,-0.021438718610332863,0.8,0,0,0,1,0,0,0,0,0,0,0
2007-02-01,0.44,0.3,-0.003233959362234806,-0.01306955832890222,0.5075000000000001,0,0,1,0,0,0,0,0,0,0,0
2007-03-01,0.37,0.22,-0.0004049812751514281,0.009159882643045902,0.49,0,0,0,0,0,0,1,0,0,0,0
2007-04-01,0.25,0.21368421052631578,-0.02959829669232583,-0.0072679522525056495,0.4275,1,0,0,0,0,0,0,0,0,0,0
2007-05-01,0.28,0.19727272727272727,-0.02065623027238317,-0.026058368170860158,0.29500000000000004,0,0,0,0,0,0,0,1,0,0,0
2007-06-01,0.28,0.2145,-0.020222265965756492,-0.03171786155336542,0.4025,0,0,0,0,0,1,0,0,0,0,0
2007-07-01,0.24,0.2280952380952381,-0.004901703621816189,-0.0037600795455062785,0.37250000000000005,0,0,0,0,1,0,0,0,0,0,0
2007-08-01,0.47,0.2952173913043478,0.02437829711627071,0.0358937453741911,0.4,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,0.18,0.3215789473684211,0.006161710772920159,-0.012290206392289615,0.3225,0,0,0,0,0,0,0,0,0,0,1
2007-10-01,0.3,0.31272727272727274,-0.015583622014539777,-0.03176659291091932,0.28500000000000003,0,0,0,0,0,0,0,0,0,1,0
2007-11-01,0.38,0.4385,-0.0018304177385122244,0.014944230878871756,0.14750000000000002,0,0,0,0,0,0,0,0,1,0,0
2007-12-01,0.74,0.4594736842105263,0.01103917753522321,0.00040553184422753574,0.6525000000000001,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0.54,0.358695652173913,0.043589425770260704,0.003810890911616127,0.94,0,0,0,1,0,0,0,0,0,0,0
2008-02-01,0.49,0.3188888888888889,0.05412092552098002,-0.024150277701481482,0.3825,0,0,1,0,0,0,0,0,0,0,0
2008-03-01,0.48,0.278,0.01829465324347357,0.03920434582950416,0.2325,0,0,0,0,0,0,1,0,0,0,0
2008-04-01,0.55,0.2515,-0.00018984337978267263,0.003108768995882527,0.7325,1,0,0,0,0,0,0,0,0,0,0
2008-05-01,0.79,0.3725,0.00652885888246324,-0.02904949053873629,0.78,0,0,0,0,0,0,0,1,0,0,0
2008-06-01,0.74,0.395,0.016091656046151037,-0.02480942297472344,0.9625,0,0,0,0,0,1,0,0,0,0,0
2008-07-01,0.53,0.40454545454545454,-0.026424970725291708,-0.005040244464311616,0.67,0,0,0,0,1,0,0,0,0,0,0
2008-08-01,0.28,0.43809523809523815,-0.07579534004070876,-0.03981658258009746,0.29000000000000004,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,0.26,0.46761904761904766,0.04953393512227677,0.07039861593907859,0.027500000000000004,0,0,0,0,0,0,0,0,0,0,1
2008-10-01,0.45,0.6230434782608696,0.007310330328525794,0.10917396892937059,0.3175,0,0,0,0,0,0,0,0,0,1,0
2008-11-01,0.36,0.5485,-0.04053068995927944,0.00015520710540961602,0.5675,0,0,0,0,0,0,0,0,1,0,0
2008-12-01,0.28,0.46238095238095245,-0.009143617498951429,0.1137341021849041,0.6475,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0.48,0.38181818181818183,-0.010361723893973718,-0.056275855823061605,0.75,0,0,0,1,0,0,0,0,0,0,0
2009-02-01,0.55,0.3861111111111111,-0.03654717361323101,-0.03059816187114328,0.5,0,0,1,0,0,0,0,0,0,0,0
2009-03-01,0.2,0.32045454545454544,-0.023484657041628942,0.02008354752961572,0.4475,0,0,0,0,0,0,1,0,0,0,0
2009-04-01,0.48,0.23526315789473684,-0.006702217034741942,-0.03642932378005481,0.615,1,0,0,0,0,0,0,0,0,0,0
2009-05-01,0.47,0.446,0.0011018070748836095,-0.03274847142735582,0.47500000000000003,0,0,0,0,0,0,0,1,0,0,0
2009-06-01,0.36,0.3525,-0.03896086364432172,-0.028111829379945608,0.26,0,0,0,0,0,1,0,0,0,0,0
2009-07-01,0.24,0.25,-0.016974023373022007,-0.007469905280762523,0.34,0,0,0,0,1,0,0,0,0,0,0
2009-08-01,0.15,0.3395238095238095,0.0075410764004653075,-0.033486481458697814,0.2575,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,0.24,0.35,-0.00812352152147966,0.0075176333196117495,0.395,0,0,0,0,0,0,0,0,0,0,1
2009-10-01,0.28,0.40238095238095234,0.006504087969176453,-0.029437518549539687,0.0875,0,0,0,0,0,0,0,0,0,1,0
2009-11-01,0.41,0.48,0.014937655667150551,0.00011607574853667035,0.195,0,0,0,0,0,0,0,0,1,0,0
2009-12-01,0.37,0.49238095238095236,0.04559162363121594,-0.009140983515216194,0.305,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0.75,0.39249999999999996,0.048805730915749024,-0.004837710038649079,0.92,0,0,0,1,0,0,0,0,0,0,0
2010-02-01,0.78,0.3333333333333333,0.0035222247125776818,-0.007897969931581428,0.9725,0,0,1,0,0,0,0,0,0,0,0
2010-03-01,0.52,0.3,-0.05746261485832527,-0.03880308942634425,0.885,0,0,0,0,0,0,1,0,0,0,0
2010-04-01,0.57,0.2495,-0.01300867203687961,-0.0276069861324576,0.825,1,0,0,0,0,0,0,0,0,0,0
2010-05-01,0.43,0.27714285714285714,-0.008357060170742336,-0.03683151602562118,0.525,0,0,0,0,0,0,0,1,0,0,0
2010-06-01,0.0,0.3165,-0.015902889706740808,-0.0299186743250901,-0.0575,0,0,0,0,0,1,0,0,0,0,0
2010-07-01,0.01,0.3936363636363636,0.014223064013558329,0.02648687668760863,-0.14,0,0,0,0,1,0,0,0,0,0,0
2010-08-01,0.04,0.4359090909090909,0.04963309612858424,0.002160901764153955,-0.155,0,1,0,0,0,0,0,0,0,0,0
2010-09-01,0.45,0.4585,0.041572566013305945,-0.007208081740743499,0.335,0,0,0,0,0,0,0,0,0,0,1
2010-10-01,0.75,0.489,0.04442507206064317,0.037220816387196654,0.64,0,0,0,0,0,0,0,0,0,1,0
2010-11-01,0.83,0.5965,0.06800066544448224,-0.002390438532687389,0.81,0,0,0,0,0,0,0,0,1,0,0
2010-12-01,0.63,0.7281818181818182,0.041900319383262996,-0.04116533720454729,0.9475,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0.83,0.477,0.04273861344939078,-0.00029403247439885316,1.1075,0,0,0,1,0,0,0,0,0,0,0
2011-02-01,0.8,0.46900000000000003,0.05428386144726538,0.017498726877572146,0.77,0,0,1,0,0,0,0,0,0,0,0
2011-03-01,0.79,0.45714285714285713,-0.007187381204123433,0.021310497964815545,0.6575,0,0,0,0,0,0,1,0,0,0,0
2011-04-01,0.77,0.2810526315789474,-0.03407568030742869,-0.014494802563390419,0.8675,1,0,0,0,0,0,0,0,0,0,0
2011-05-01,0.47,0.15772727272727274,-0.058481220236847875,0.007558677485184573,0.9025000000000001,0,0,0,0,0,0,0,1,0,0,0
2011-06-01,0.15,0.255,-0.021146945292543684,-0.011166046647925865,0.012499999999999997,0,0,0,0,0,1,0,0,0,0,0
2011-07-01,0.16,0.3514285714285714,-0.010017682259154448,-0.022693480915150666,-0.0975,0,0,0,0,1,0,0,0,0,0,0
2011-08-01,0.37,0.45217391304347826,0.006959850935060352,0.024154397191049726,0.21750000000000003,0,1,0,0,0,0,0,0,0,0,0
2011-09-01,0.53,0.5115000000000001,0.07234998752282351,0.04901921984754565,0.6275,0,0,0,0,0,0,0,0,0,0,1
2011-10-01,0.43,0.5055,-0.030714056639146392,0.011567837189612962,0.365,0,0,0,0,0,0,0,0,0,1,0
2011-11-01,0.52,0.62,-0.006588095950547768,-0.0028061712966189756,0.42000000000000004,0,0,0,0,0,0,0,0,1,0,0
2011-12-01,0.5,0.6122727272727272,-0.011898653066164222,-0.002921396959324696,0.73,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0.56,0.5073913043478261,0.007540588119215208,-0.0467997819060999,0.91,0,0,0,1,0,0,0,0,0,0,0
2012-02-01,0.45,0.47777777777777775,-0.024583429173040905,-0.015112318977311912,0.3175,0,0,1,0,0,0,0,0,0,0,0
2012-03-01,0.21,0.4709090909090909,0.021258550792874864,0.0424162044141676,0.49750000000000005,0,0,0,0,0,0,1,0,0,0,0
2012-04-01,0.64,0.2894736842105263,-0.0026327351757995388,0.02921018642241424,0.56,1,0,0,0,0,0,0,0,0,0,0
2012-05-01,0.36,0.20181818181818184,0.01569343454604688,0.038045858543311994,0.535,0,0,0,0,0,0,0,1,0,0,0
2012-06-01,0.08,0.3315,-0.0031190460219496785,0.013042946739380334,0.245,0,0,0,0,0,1,0,0,0,0,0
2012-07-01,0.43,0.40238095238095234,0.07165045003416814,-0.0302983420489239,0.2275,0,0,0,0,1,0,0,0,0,0,0
2012-08-01,0.41,0.43565217391304345,0.007403864499025303,0.009919518105915293,0.3925,0,1,0,0,0,0,0,0,0,0,0
2012-09-01,0.57,0.5194736842105264,0.017643309128803075,0.036346932063196946,0.5,0,0,0,0,0,0,0,0,0,0,1
2012-10-01,0.59,0.5186363636363637,-0.010532665179162848,0.008729737741335675,0.5775,0,0,0,0,0,0,0,0,0,1,0
2012-11-01,0.6,0.651,0.010532665179162848,0.007667773262248101,0.4025,0,0,0,0,0,0,0,0,1,0,0
2012-12-01,0.79,0.33894736842105266,0.0141580056655215,0.02735419886155932,0.6875,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0.86,0.39045454545454544,-0.020717997576062075,-0.009753175896826671,0.925,0,0,0,1,0,0,0,0,0,0,0
2013-02-01,0.6,0.5283333333333333,-0.03313349723452674,-0.025864540109263423,0.505,0,0,1,0,0,0,0,0,0,0,0
2013-03-01,0.47,0.3545,-0.015613055166857848,-0.02412739722830859,0.6625,0,0,0,0,0,0,1,0,0,0,0
2013-04-01,0.55,0.31333333333333335,-0.0176386229287413,0.014795986459644084,0.605,1,0,0,0,0,0,0,0,0,0,0
2013-05-01,0.37,0.35428571428571426,0.00152413238649185,0.011728747835511477,0.3875,0,0,0,0,0,0,0,1,0,0,0
2013-06-01,0.26,0.2895,0.04822997280308883,0.08314385814304126,0.4075,0,0,0,0,0,1,0,0,0,0,0
2013-07-01,0.03,0.40090909090909094,0.02066700328874216,0.027094011119025874,0.0050000000000000044,0,0,0,0,1,0,0,0,0,0,0
2013-08-01,0.24,0.55,0.03941206089497484,0.05683877323374342,0.0975,0,1,0,0,0,0,0,0,0,0,0
2013-09-01,0.35,0.6595,-0.02164320859426727,-0.02825159371792596,0.2725,0,0,0,0,0,0,0,0,0,0,1
2013-10-01,0.57,0.6991304347826086,-0.028408095174195402,-0.01499839882899301,0.4675,0,0,0,0,0,0,0,0,0,1,0
2013-11-01,0.54,0.719,0.031042530294607573,0.03627605355310615,0.655,0,0,0,0,0,0,0,0,1,0,0
2013-12-01,0.92,0.66,0.027626909668722277,0.03736635021747703,0.7050000000000001,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0.55,0.515,0.01879109799187262,0.008990863451102449,0.875,0,0,0,1,0,0,0,0,0,0,0
2014-02-01,0.69,0.5660000000000001,0.03712454166586543,0.003954844826676851,0.7725,0,0,1,0,0,0,0,0,0,0,0
2014-03-01,0.92,0.48947368421052634,0.0012093190163113832,-0.011773935453580853,0.8075,0,0,0,0,0,0,1,0,0,0,0
2014-04-01,0.67,0.36526315789473685,-0.02789872777851876,-0.04276585027680935,0.8425,1,0,0,0,0,0,0,0,0,0,0
2014-05-01,0.46,0.2861904761904762,-0.01851973098951909,-0.012065879098116739,0.7075,0,0,0,0,0,0,0,1,0,0,0
2014-06-01,0.4,0.29894736842105263,-0.005451232555864216,-0.0026044783790817316,0.3725,0,0,0,0,0,1,0,0,0,0,0
2014-07-01,0.01,0.37454545454545457,-0.016991158247218863,-0.009125608837600163,0.195,0,0,0,0,1,0,0,0,0,0,0
2014-08-01,0.25,0.5066666666666667,-0.010950831186751664,0.002953398602462798,0.105,0,1,0,0,0,0,0,0,0,0,0
