data,pib,uci_ind_fgv,expec_pib,prod_ind_metalurgia
2000-01-01,1.3,4.397735928379062,3.891764705882353,101.268625
2000-04-01,2.4,4.397735928379062,3.891764705882353,101.268625
2000-07-01,3.8,4.397735928379062,3.891764705882353,101.268625
2000-10-01,4.4,4.397735928379062,3.891764705882353,101.268625
2001-01-01,4.2,4.397735928379062,3.891764705882353,101.268625
2001-04-01,3.7,4.386599496519016,3.891764705882353,101.268625
2001-07-01,2.7,4.370291378455461,3.891764705882353,101.268625
2001-10-01,1.4,4.381609881177539,3.891764705882353,101.268625
2002-01-01,0.7,4.363947521273976,4.1194444444444445,101.268625
2002-04-01,0.7,4.353284165808228,3.7368181818181814,100.95861333333333
2002-07-01,1.6,4.358416769034748,3.140869565217391,104.11597333333333
2002-10-01,3.1,4.383691913992943,2.4385714285714286,107.91561999999999
2003-01-01,3.6,4.37449836825309,2.2555555555555555,110.1906
2003-04-01,3.2,4.359695814188868,2.7863157894736843,109.80218333333335
2003-07-01,2.3,4.363947521273976,3.2495238095238093,108.76225333333333
2003-10-01,1.1,4.401420681780516,3.3577777777777778,109.22021333333333
2004-01-01,1.4,4.383275854074314,3.5424999999999995,111.23717333333333
2004-04-01,2.8,4.382859620977773,3.5214285714285714,114.55598666666667
2004-07-01,4.3,4.405498990859024,3.4957142857142856,113.93136
2004-10-01,5.8,4.4324028419989485,3.5065,112.17995333333333
2005-01-01,5.8,4.412798293340635,3.858421052631579,112.11521666666665
2005-04-01,5.4,4.392389421709428,3.657391304347826,110.15039
2005-07-01,4.2,4.392389421709428,3.5945454545454543,109.38943
2005-10-01,3.2,4.405498990859024,3.544761904761905,112.15544333333334
2006-01-01,3.2,4.38867117739255,3.54,110.80901999999999
2006-04-01,2.7,4.384107800877707,3.608181818181818,112.92594666666666
2006-07-01,3.3,4.408749704814635,3.3980952380952383,116.17309
2006-10-01,4.0,4.422048309023368,3.215,116.86650666666667
2007-01-01,4.2,4.401420681780516,3.489,120.39878
2007-04-01,5.3,4.410776047959867,4.183529411764706,121.06992000000001
2007-07-01,5.6,4.430816798843313,4.44625,120.85695666666668
2007-10-01,6.1,4.457829598089382,4.569999999999999,125.14276333333333
2008-01-01,6.3,4.433986373604593,4.10625,128.62024666666667
2008-04-01,6.3,4.431213545525765,3.9794736842105265,129.64257333333333
2008-07-01,6.5,4.446565155811452,3.8449999999999998,130.66889
2008-10-01,5.1,4.426442164704267,2.9394736842105265,113.16896666666668
2009-01-01,3.0,4.33292392166615,2.506470588235294,91.42230333333333
2009-04-01,0.8,4.34596758485818,3.165263157894737,96.80364999999999
2009-07-01,-1.2,4.376176220995706,4.230666666666667,109.05345666666666
2009-10-01,-0.1,4.42484663185681,4.740588235294118,118.07294333333334
2010-01-01,2.6,4.401420681780516,4.272666666666667,121.75501333333334
2010-04-01,5.3,4.422448549172797,4.173333333333334,124.34665
2010-07-01,7.5,4.433986373604593,4.457142857142857,122.47393333333332
2010-10-01,7.5,4.4520190064939165,4.807272727272727,120.13351333333333
2011-01-01,6.6,4.407938016458383,4.536842105263158,124.36330333333335
2011-04-01,5.6,4.415219602029645,4.095238095238095,123.57677333333334
2011-07-01,4.8,4.416025403846011,3.8886363636363637,120.68404666666667
2011-10-01,4.0,4.428433007488037,4.0561904761904755,118.07495666666667
2012-01-01,3.1,4.396093891885317,4.477142857142857,116.50830666666667
2012-04-01,2.2,4.399375273008494,4.659523809523809,116.06863666666668
2012-07-01,1.9,4.414009680526933,4.086666666666666,116.82616666666667
2012-10-01,1.9,4.431213545525765,3.5952380952380953,116.46852333333334
2013-01-01,2.2,4.396504653854535,3.4594444444444448,114.50871
2013-04-01,2.9,4.4034619153939465,3.0863636363636364,119.77399333333334
2013-07-01,3.0,4.416428061391214,2.334347826086957,116.63771000000001
2013-10-01,3.0,4.4359622683395195,2.217619047619048,115.86862666666667
2014-01-01,3.2,4.400603020246817,2.0050000000000003,113.7349
2014-04-01,2.1,4.395271861423902,1.5775000000000001,108.14194333333334
2014-07-01,1.2,4.39156433915437,1.2699999999999998,106.07801666666667
2014-10-01,0.5,4.400603020246817,0.9365,104.00348000000001
2015-01-01,-0.7,4.354569788440842,0.4694444444444444,106.36397666666666
2015-04-01,-1.3,4.3294166844015844,0.472,99.80541666666666
2015-07-01,-2.2,4.319707870274623,-0.007619047619047618,96.11411333333335
2015-10-01,-3.5,4.338161821026943,-0.822857142857143,93.69148
2016-01-01,-4.4,4.288173725867535,-0.47,90.23214333333333
2016-04-01,-4.5,4.293650690722455,0.3308695652173913,90.99596666666666
2016-07-01,-4.1,4.307662219385019,1.3818181818181818,96.85855333333332
2016-10-01,-3.3,4.319264312937566,1.8466666666666667,92.71489333333334
2017-01-01,-1.9,4.29592393562047,2.204285714285714,94.44639
2017-04-01,-0.9,4.299550412849643,2.1422727272727276,95.39799999999998
2017-07-01,0.1,4.3090078127703775,2.2342857142857144,96.49167666666666
2017-10-01,1.3,4.33292392166615,3.1755,103.37933
2018-01-01,1.7,4.311246452612834,3.121052631578947,101.80089
2018-04-01,1.9,4.326337728813293,3.008695652173913,99.15625
2018-07-01,2.0,4.3342359708375335,2.651904761904762,101.24851000000001
2018-10-01,1.8,4.34337242769234,2.75,103.15442666666667
2019-01-01,1.5,4.29683178861065,2.873684210526316,100.11466
2019-04-01,1.4,4.307662219385019,2.4785,101.22456666666666
2019-07-01,1.2,4.327658442190388,2.1431818181818185,97.82821333333334
2019-10-01,1.2,4.342939245965835,2.308,94.19634666666667
2020-01-01,1.1,4.312140507209715,2.1242105263157893,97.07195333333334
2020-04-01,-1.7,4.108137884354437,7.143000000000001,71.40032333333333
2020-07-01,-2.8,4.324574059925796,4.6115,90.35811333333334
2020-10-01,-3.3,4.397325671963051,2.1945,105.13989666666667
2021-01-01,-2.9,4.355853760369858,2.3878947368421053,105.97377
2021-04-01,2.4,4.34683114277022,2.3323809523809524,108.09670999999999
2021-07-01,4.3,4.384939056120917,1.7787857142857144,106.42667666666667
2021-10-01,4.8,4.409155302062135,0.4606863636363636,100.81349
2022-01-01,4.7,4.370291378455461,0.6784,100.59549333333332
2022-04-01,2.7,4.3811929539253045,0.18608181818181818,100.42601666666667
2022-07-01,2.7,4.406719247264253,0.09543181818181817,99.61543999999999
2022-10-01,3.0,4.402645921876617,0.48982380952380955,99.38678333333333
2023-01-01,3.8,4.352426164897591,0.8814761904761904,97.34183
2023-04-01,3.8,4.377851263263401,0.980952380952381,98.66014666666666
2023-07-01,3.3,4.399375273008494,1.4535809523809524,96.72993666666666
2023-10-01,3.2,4.414009680526933,1.9262599999999999,96.23234666666667
2024-01-01,2.8,4.379105706246218,2.0002473684210527,96.47012333333333
2024-04-01,2.7,4.400603020246817,1.9895454545454547,97.02993333333332
2024-07-01,3.1,4.428035155881437,1.8771304347826088,101.23731333333335
2024-10-01,3.4,4.424047909769619,1.7087238095238095,103.19806999999999
